"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"1831"	"False"	""	"GO:0032787"	"IntermediateAnnotation"	"monocarboxylic acid metabolic process"	"GOAnnotation"	"3"	"3"	"139"	"2"
"1832"	"False"	""	"GO:0010828"	"IntermediateAnnotation"	"positive regulation of D-glucose transmembrane transport"	"GOAnnotation"	"2"	"2"	"28"	"7"
"1833"	"False"	""	"GO:0010827"	"IntermediateAnnotation"	"regulation of D-glucose transmembrane transport"	"GOAnnotation"	"2"	"2"	"49"	"4"
"1834"	"False"	""	"GO:0034764"	"IntermediateAnnotation"	"positive regulation of transmembrane transport"	"GOAnnotation"	"3"	"3"	"158"	"2"
"1835"	"False"	""	"GO:0034762"	"IntermediateAnnotation"	"regulation of transmembrane transport"	"GOAnnotation"	"4"	"4"	"328"	"1"
"1836"	"False"	""	"GO:0010884"	"IntermediateAnnotation"	"positive regulation of lipid storage"	"GOAnnotation"	"2"	"2"	"10"	"20"
"1837"	"False"	""	"GO:0010883"	"IntermediateAnnotation"	"regulation of lipid storage"	"GOAnnotation"	"2"	"2"	"25"	"8"
"1838"	"False"	""	"GO:0016322"	"LeafAnnotation"	"neuron remodeling"	"GOAnnotation"	"2"	"2"	"11"	"18"
"1839"	"False"	""	"GO:0042551"	"IntermediateAnnotation"	"neuron maturation"	"GOAnnotation"	"2"	"2"	"21"	"10"
"1840"	"False"	""	"GO:0048469"	"IntermediateAnnotation"	"cell maturation"	"GOAnnotation"	"3"	"3"	"72"	"4"
"1841"	"False"	""	"GO:0071695"	"IntermediateAnnotation"	"anatomical structure maturation"	"GOAnnotation"	"4"	"4"	"99"	"4"
"1842"	"False"	""	"GO:0021700"	"IntermediateAnnotation"	"developmental maturation"	"GOAnnotation"	"4"	"4"	"136"	"3"
"1843"	"False"	""	"GO:0031715"	"LeafAnnotation"	"C5L2 anaphylatoxin chemotactic receptor binding"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1844"	"False"	""	"GO:0031714"	"IntermediateAnnotation"	"C5a anaphylatoxin chemotactic receptor binding"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1845"	"False"	""	"GO:0035578"	"LeafAnnotation"	"azurophil granule lumen"	"GOAnnotation"	"4"	"4"	"34"	"12"
"1846"	"False"	""	"GO:0035846"	"IntermediateAnnotation"	"oviduct epithelium development"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1847"	"False"	""	"GO:0060429"	"IntermediateAnnotation"	"epithelium development"	"GOAnnotation"	"4"	"4"	"451"	"1"
"1848"	"False"	""	"GO:0060066"	"IntermediateAnnotation"	"oviduct development"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1849"	"False"	""	"GO:0045745"	"IntermediateAnnotation"	"positive regulation of G protein-coupled receptor signaling pathway"	"GOAnnotation"	"2"	"2"	"25"	"8"
"1850"	"False"	""	"GO:0008277"	"IntermediateAnnotation"	"regulation of G protein-coupled receptor signaling pathway"	"GOAnnotation"	"2"	"2"	"108"	"2"
"1851"	"False"	""	"GO:0045766"	"IntermediateAnnotation"	"positive regulation of angiogenesis"	"GOAnnotation"	"4"	"4"	"94"	"4"
"1852"	"False"	""	"GO:0045765"	"IntermediateAnnotation"	"regulation of angiogenesis"	"GOAnnotation"	"6"	"6"	"159"	"4"
"1853"	"False"	""	"GO:1904018"	"IntermediateAnnotation"	"positive regulation of vasculature development"	"GOAnnotation"	"4"	"4"	"97"	"4"
"1854"	"False"	""	"GO:1901342"	"IntermediateAnnotation"	"regulation of vasculature development"	"GOAnnotation"	"6"	"6"	"164"	"4"
"1855"	"False"	""	"GO:0060100"	"IntermediateAnnotation"	"positive regulation of phagocytosis, engulfment"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1856"	"False"	""	"GO:0060099"	"IntermediateAnnotation"	"regulation of phagocytosis, engulfment"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1857"	"False"	""	"GO:1905155"	"IntermediateAnnotation"	"positive regulation of membrane invagination"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1858"	"False"	""	"GO:1905153"	"IntermediateAnnotation"	"regulation of membrane invagination"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1859"	"False"	""	"GO:0097242"	"IntermediateAnnotation"	"amyloid-beta clearance"	"GOAnnotation"	"2"	"2"	"25"	"8"
"1860"	"False"	""	"GO:0097278"	"LeafAnnotation"	"complement-dependent cytotoxicity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1861"	"False"	""	"GO:0150062"	"LeafAnnotation"	"complement-mediated synapse pruning"	"GOAnnotation"	"2"	"2"	"4"	"50"
"1862"	"False"	""	"GO:0098883"	"IntermediateAnnotation"	"synapse pruning"	"GOAnnotation"	"3"	"3"	"8"	"38"
"1863"	"False"	""	"GO:0050808"	"IntermediateAnnotation"	"synapse organization"	"GOAnnotation"	"4"	"4"	"248"	"2"
"1864"	"False"	""	"GO:0150146"	"IntermediateAnnotation"	"cell junction disassembly"	"GOAnnotation"	"3"	"3"	"9"	"33"
"1865"	"False"	""	"GO:0034330"	"IntermediateAnnotation"	"cell junction organization"	"GOAnnotation"	"5"	"5"	"404"	"1"
"1866"	"False"	""	"GO:0150064"	"LeafAnnotation"	"vertebrate eye-specific patterning"	"GOAnnotation"	"2"	"2"	"3"	"67"
"1867"	"False"	""	"GO:0003002"	"IntermediateAnnotation"	"regionalization"	"GOAnnotation"	"2"	"2"	"101"	"2"
"1868"	"False"	""	"GO:0150063"	"IntermediateAnnotation"	"visual system development"	"GOAnnotation"	"3"	"3"	"164"	"2"
"1869"	"False"	""	"GO:0007389"	"IntermediateAnnotation"	"pattern specification process"	"GOAnnotation"	"2"	"2"	"114"	"2"
"1870"	"False"	""	"GO:0048880"	"IntermediateAnnotation"	"sensory system development"	"GOAnnotation"	"3"	"3"	"165"	"2"
"1871"	"False"	""	"GO:2000427"	"IntermediateAnnotation"	"positive regulation of apoptotic cell clearance"	"GOAnnotation"	"3"	"4"	"8"	"50"
"1872"	"False"	""	"GO:2000425"	"IntermediateAnnotation"	"regulation of apoptotic cell clearance"	"GOAnnotation"	"3"	"4"	"10"	"40"
"1873"	"False"	""	"GO:0003094"	"LeafAnnotation"	"glomerular filtration"	"GOAnnotation"	"3"	"3"	"17"	"18"
"1874"	"False"	""	"GO:0097205"	"IntermediateAnnotation"	"renal filtration"	"GOAnnotation"	"3"	"3"	"20"	"15"
"1875"	"False"	""	"GO:0071748"	"LeafAnnotation"	"monomeric IgA immunoglobulin complex"	"GOAnnotation"	"3"	"3"	"4"	"75"
"1876"	"False"	""	"GO:0071746"	"IntermediateAnnotation"	"IgA immunoglobulin complex, circulating"	"GOAnnotation"	"3"	"3"	"5"	"60"
"1877"	"False"	""	"GO:0071751"	"IntermediateAnnotation"	"secretory IgA immunoglobulin complex"	"GOAnnotation"	"3"	"3"	"5"	"60"
"1878"	"False"	""	"GO:0071749"	"IntermediateAnnotation"	"polymeric IgA immunoglobulin complex"	"GOAnnotation"	"3"	"3"	"5"	"60"
"1879"	"False"	""	"Pf01462"	"LeafAnnotation"	"Leucine rich repeat N-terminal domain"	"Pfam"	"1"	"1"	"14"	"7"
"1880"	"False"	""	"Pf13516"	"LeafAnnotation"	"Leucine Rich repeat"	"Pfam"	"2"	"2"	"19"	"11"
"1881"	"False"	""	"GO:0005583"	"IntermediateAnnotation"	"fibrillar collagen trimer"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1882"	"False"	""	"GO:0005581"	"IntermediateAnnotation"	"collagen trimer"	"GOAnnotation"	"3"	"3"	"24"	"12"
"1883"	"False"	""	"GO:0098643"	"IntermediateAnnotation"	"banded collagen fibril"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1884"	"False"	""	"GO:0098644"	"IntermediateAnnotation"	"complex of collagen trimers"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1885"	"False"	""	"GO:0099512"	"IntermediateAnnotation"	"supramolecular fiber"	"GOAnnotation"	"3"	"3"	"315"	"1"
"1886"	"False"	""	"GO:0099080"	"IntermediateAnnotation"	"supramolecular complex"	"GOAnnotation"	"3"	"3"	"356"	"1"
"1887"	"False"	""	"GO:0099081"	"IntermediateAnnotation"	"supramolecular polymer"	"GOAnnotation"	"3"	"3"	"315"	"1"
"1888"	"False"	""	"GO:0007601"	"IntermediateAnnotation"	"visual perception"	"GOAnnotation"	"2"	"2"	"94"	"2"
"1889"	"False"	""	"GO:0050953"	"IntermediateAnnotation"	"sensory perception of light stimulus"	"GOAnnotation"	"2"	"2"	"98"	"2"
"1890"	"False"	""	"GO:0030021"	"IntermediateAnnotation"	"extracellular matrix structural constituent conferring compression resistance"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1891"	"False"	""	"GO:0032914"	"LeafAnnotation"	"positive regulation of transforming growth factor beta1 production"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1892"	"False"	""	"GO:0032908"	"IntermediateAnnotation"	"regulation of transforming growth factor beta1 production"	"GOAnnotation"	"1"	"1"	"8"	"12"
"1893"	"False"	""	"GO:0001938"	"IntermediateAnnotation"	"positive regulation of endothelial cell proliferation"	"GOAnnotation"	"2"	"2"	"53"	"4"
"1894"	"False"	""	"GO:0001936"	"IntermediateAnnotation"	"regulation of endothelial cell proliferation"	"GOAnnotation"	"4"	"4"	"77"	"5"
"1895"	"False"	""	"GO:0050679"	"IntermediateAnnotation"	"positive regulation of epithelial cell proliferation"	"GOAnnotation"	"2"	"2"	"107"	"2"
"1896"	"False"	""	"GO:0050678"	"IntermediateAnnotation"	"regulation of epithelial cell proliferation"	"GOAnnotation"	"4"	"4"	"171"	"2"
"1897"	"False"	""	"GO:0005114"	"LeafAnnotation"	"type II transforming growth factor beta receptor binding"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1898"	"False"	""	"GO:0005160"	"IntermediateAnnotation"	"transforming growth factor beta receptor binding"	"GOAnnotation"	"1"	"1"	"16"	"6"
"1899"	"False"	""	"GO:0010718"	"IntermediateAnnotation"	"positive regulation of epithelial to mesenchymal transition"	"GOAnnotation"	"2"	"2"	"30"	"7"
"1900"	"False"	""	"GO:0010717"	"IntermediateAnnotation"	"regulation of epithelial to mesenchymal transition"	"GOAnnotation"	"3"	"3"	"55"	"5"
"1901"	"False"	""	"GO:0010838"	"LeafAnnotation"	"positive regulation of keratinocyte proliferation"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1902"	"False"	""	"GO:0010837"	"IntermediateAnnotation"	"regulation of keratinocyte proliferation"	"GOAnnotation"	"1"	"1"	"21"	"5"
"1903"	"False"	""	"GO:0030511"	"LeafAnnotation"	"positive regulation of transforming growth factor beta receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1904"	"False"	""	"GO:0017015"	"IntermediateAnnotation"	"regulation of transforming growth factor beta receptor signaling pathway"	"GOAnnotation"	"2"	"2"	"54"	"4"
"1905"	"False"	""	"GO:0090100"	"IntermediateAnnotation"	"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"	"GOAnnotation"	"1"	"1"	"46"	"2"
"1906"	"False"	""	"GO:1903846"	"IntermediateAnnotation"	"positive regulation of cellular response to transforming growth factor beta stimulus"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1907"	"False"	""	"GO:0090092"	"IntermediateAnnotation"	"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"	"GOAnnotation"	"2"	"2"	"106"	"2"
"1908"	"False"	""	"GO:1903844"	"IntermediateAnnotation"	"regulation of cellular response to transforming growth factor beta stimulus"	"GOAnnotation"	"2"	"2"	"54"	"4"
"1909"	"False"	""	"GO:0034713"	"LeafAnnotation"	"type I transforming growth factor beta receptor binding"	"GOAnnotation"	"1"	"1"	"8"	"12"
"1910"	"False"	""	"GO:0035313"	"LeafAnnotation"	"wound healing, spreading of epidermal cells"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1911"	"False"	""	"GO:0044319"	"IntermediateAnnotation"	"wound healing, spreading of cells"	"GOAnnotation"	"1"	"1"	"24"	"4"
"1912"	"False"	""	"GO:0090505"	"IntermediateAnnotation"	"epiboly involved in wound healing"	"GOAnnotation"	"1"	"1"	"24"	"4"
"1913"	"False"	""	"GO:0090504"	"IntermediateAnnotation"	"epiboly"	"GOAnnotation"	"1"	"1"	"25"	"4"
"1914"	"False"	""	"GO:0002011"	"IntermediateAnnotation"	"morphogenesis of an epithelial sheet"	"GOAnnotation"	"1"	"1"	"37"	"3"
"1915"	"False"	""	"GO:0002009"	"IntermediateAnnotation"	"morphogenesis of an epithelium"	"GOAnnotation"	"2"	"2"	"207"	"1"
"1916"	"False"	""	"GO:0048729"	"IntermediateAnnotation"	"tissue morphogenesis"	"GOAnnotation"	"2"	"2"	"242"	"1"
"1917"	"False"	""	"GO:0050873"	"LeafAnnotation"	"brown fat cell differentiation"	"GOAnnotation"	"2"	"2"	"10"	"20"
"1918"	"False"	""	"GO:0045444"	"IntermediateAnnotation"	"fat cell differentiation"	"GOAnnotation"	"2"	"2"	"36"	"6"
"1919"	"False"	""	"GO:0051546"	"LeafAnnotation"	"keratinocyte migration"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1920"	"False"	""	"GO:0060054"	"LeafAnnotation"	"positive regulation of epithelial cell proliferation involved in wound healing"	"GOAnnotation"	"1"	"1"	"7"	"14"
"1921"	"False"	""	"GO:0061756"	"IntermediateAnnotation"	"leukocyte adhesion to vascular endothelial cell"	"GOAnnotation"	"2"	"2"	"20"	"10"
"1922"	"False"	""	"GO:0007159"	"IntermediateAnnotation"	"leukocyte cell-cell adhesion"	"GOAnnotation"	"3"	"3"	"47"	"6"
"1923"	"False"	""	"GO:1904813"	"LeafAnnotation"	"ficolin-1-rich granule lumen"	"GOAnnotation"	"5"	"5"	"34"	"15"
"1924"	"False"	""	"Pf00147"	"LeafAnnotation"	"Fibrinogen beta and gamma chains, C-terminal globular domain"	"Pfam"	"3"	"3"	"16"	"19"
"1925"	"False"	""	"Pf08702"	"LeafAnnotation"	"Fibrinogen alpha/beta chain family"	"Pfam"	"3"	"3"	"3"	"100"
"1926"	"False"	""	"Pf12160"	"LeafAnnotation"	"Fibrinogen alpha C domain"	"Pfam"	"1"	"1"	"1"	"100"
"1927"	"False"	""	"GO:0034116"	"IntermediateAnnotation"	"positive regulation of heterotypic cell-cell adhesion"	"GOAnnotation"	"3"	"3"	"11"	"27"
"1928"	"False"	""	"GO:0034114"	"IntermediateAnnotation"	"regulation of heterotypic cell-cell adhesion"	"GOAnnotation"	"5"	"5"	"17"	"29"
"1929"	"False"	""	"GO:0043152"	"LeafAnnotation"	"induction of bacterial agglutination"	"GOAnnotation"	"2"	"2"	"2"	"100"
"1930"	"False"	""	"GO:0045907"	"IntermediateAnnotation"	"positive regulation of vasoconstriction"	"GOAnnotation"	"3"	"3"	"26"	"12"
"1931"	"False"	""	"GO:0019229"	"IntermediateAnnotation"	"regulation of vasoconstriction"	"GOAnnotation"	"5"	"5"	"53"	"9"
"1932"	"False"	""	"GO:1903522"	"IntermediateAnnotation"	"regulation of blood circulation"	"GOAnnotation"	"5"	"5"	"174"	"3"
"1933"	"False"	""	"GO:0070527"	"LeafAnnotation"	"platelet aggregation"	"GOAnnotation"	"3"	"3"	"23"	"13"
"1934"	"False"	""	"GO:0034109"	"IntermediateAnnotation"	"homotypic cell-cell adhesion"	"GOAnnotation"	"3"	"3"	"39"	"8"
"1935"	"False"	""	"GO:0030168"	"IntermediateAnnotation"	"platelet activation"	"GOAnnotation"	"6"	"6"	"68"	"9"
"1936"	"False"	""	"GO:0072377"	"LeafAnnotation"	"blood coagulation, common pathway"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1937"	"False"	""	"GO:0072376"	"IntermediateAnnotation"	"protein activation cascade"	"GOAnnotation"	"8"	"8"	"18"	"44"
"1938"	"False"	""	"GO:0072378"	"IntermediateAnnotation"	"blood coagulation, fibrin clot formation"	"GOAnnotation"	"7"	"7"	"16"	"44"
"1939"	"False"	""	"GO:1900026"	"LeafAnnotation"	"positive regulation of substrate adhesion-dependent cell spreading"	"GOAnnotation"	"4"	"4"	"34"	"12"
"1940"	"False"	""	"GO:1900024"	"IntermediateAnnotation"	"regulation of substrate adhesion-dependent cell spreading"	"GOAnnotation"	"5"	"5"	"50"	"10"
"1941"	"False"	""	"GO:1902042"	"IntermediateAnnotation"	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"GOAnnotation"	"3"	"3"	"17"	"18"
"1942"	"False"	""	"GO:1902041"	"IntermediateAnnotation"	"regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"GOAnnotation"	"3"	"3"	"25"	"12"
"1943"	"False"	""	"GO:2001237"	"IntermediateAnnotation"	"negative regulation of extrinsic apoptotic signaling pathway"	"GOAnnotation"	"3"	"3"	"44"	"7"
"1944"	"False"	""	"GO:2001236"	"IntermediateAnnotation"	"regulation of extrinsic apoptotic signaling pathway"	"GOAnnotation"	"4"	"4"	"77"	"5"
"1945"	"False"	""	"GO:2001234"	"IntermediateAnnotation"	"negative regulation of apoptotic signaling pathway"	"GOAnnotation"	"5"	"5"	"89"	"6"
"1946"	"False"	""	"GO:2001233"	"IntermediateAnnotation"	"regulation of apoptotic signaling pathway"	"GOAnnotation"	"6"	"6"	"157"	"4"
"1947"	"False"	""	"GO:0043066"	"IntermediateAnnotation"	"negative regulation of apoptotic process"	"GOAnnotation"	"7"	"7"	"353"	"2"
"1948"	"False"	""	"GO:2000352"	"LeafAnnotation"	"negative regulation of endothelial cell apoptotic process"	"GOAnnotation"	"3"	"3"	"20"	"15"
"1949"	"False"	""	"GO:2000351"	"IntermediateAnnotation"	"regulation of endothelial cell apoptotic process"	"GOAnnotation"	"3"	"3"	"37"	"8"
"1950"	"False"	""	"GO:0031721"	"LeafAnnotation"	"hemoglobin alpha binding"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1951"	"False"	""	"GO:0045429"	"LeafAnnotation"	"positive regulation of nitric oxide biosynthetic process"	"GOAnnotation"	"3"	"3"	"22"	"14"
"1952"	"False"	""	"GO:0045428"	"IntermediateAnnotation"	"regulation of nitric oxide biosynthetic process"	"GOAnnotation"	"4"	"4"	"34"	"12"
"1953"	"False"	""	"GO:1904407"	"IntermediateAnnotation"	"positive regulation of nitric oxide metabolic process"	"GOAnnotation"	"3"	"3"	"23"	"13"
"1954"	"False"	""	"GO:0080164"	"IntermediateAnnotation"	"regulation of nitric oxide metabolic process"	"GOAnnotation"	"4"	"4"	"36"	"11"
"1955"	"False"	""	"GO:0070293"	"IntermediateAnnotation"	"renal absorption"	"GOAnnotation"	"2"	"2"	"29"	"7"
"1956"	"False"	""	"Pf01347"	"LeafAnnotation"	"Lipoprotein amino terminal region"	"Pfam"	"1"	"1"	"2"	"50"
"1957"	"False"	""	"Pf06448"	"LeafAnnotation"	"Domain of Unknown Function (DUF1081)"	"Pfam"	"1"	"1"	"1"	"100"
"1958"	"False"	""	"Pf09172"	"LeafAnnotation"	"Vitellinogen, open beta-sheet"	"Pfam"	"1"	"1"	"1"	"100"
"1959"	"False"	""	"Pf12491"	"LeafAnnotation"	"Apolipoprotein B100 C terminal"	"Pfam"	"1"	"1"	"1"	"100"
"1960"	"False"	""	"GO:0005790"	"IntermediateAnnotation"	"smooth endoplasmic reticulum"	"GOAnnotation"	"1"	"1"	"22"	"5"
"1961"	"False"	""	"GO:0005811"	"IntermediateAnnotation"	"lipid droplet"	"GOAnnotation"	"1"	"1"	"38"	"3"
"1962"	"False"	""	"GO:0006642"	"LeafAnnotation"	"triglyceride mobilization"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1963"	"False"	""	"GO:0009566"	"IntermediateAnnotation"	"fertilization"	"GOAnnotation"	"2"	"2"	"98"	"2"
"1964"	"False"	""	"GO:0009615"	"IntermediateAnnotation"	"response to virus"	"GOAnnotation"	"2"	"2"	"125"	"2"
"1965"	"False"	""	"GO:0009791"	"IntermediateAnnotation"	"post-embryonic development"	"GOAnnotation"	"2"	"2"	"27"	"7"
"1966"	"False"	""	"GO:0010744"	"LeafAnnotation"	"positive regulation of macrophage derived foam cell differentiation"	"GOAnnotation"	"2"	"2"	"16"	"12"
"1967"	"False"	""	"GO:0010743"	"IntermediateAnnotation"	"regulation of macrophage derived foam cell differentiation"	"GOAnnotation"	"3"	"3"	"25"	"12"
"1968"	"False"	""	"GO:0010886"	"LeafAnnotation"	"positive regulation of cholesterol storage"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1969"	"False"	""	"GO:0010885"	"IntermediateAnnotation"	"regulation of cholesterol storage"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1970"	"False"	""	"GO:0030669"	"IntermediateAnnotation"	"clathrin-coated endocytic vesicle membrane"	"GOAnnotation"	"3"	"3"	"68"	"4"
"1971"	"False"	""	"GO:0030665"	"IntermediateAnnotation"	"clathrin-coated vesicle membrane"	"GOAnnotation"	"4"	"4"	"115"	"3"
"1972"	"False"	""	"GO:0045334"	"IntermediateAnnotation"	"clathrin-coated endocytic vesicle"	"GOAnnotation"	"3"	"3"	"77"	"4"
"1973"	"False"	""	"GO:0030662"	"IntermediateAnnotation"	"coated vesicle membrane"	"GOAnnotation"	"4"	"4"	"137"	"3"
"1974"	"False"	""	"GO:0030136"	"IntermediateAnnotation"	"clathrin-coated vesicle"	"GOAnnotation"	"6"	"6"	"170"	"4"
"1975"	"False"	""	"GO:0030135"	"IntermediateAnnotation"	"coated vesicle"	"GOAnnotation"	"8"	"8"	"205"	"4"
"1976"	"False"	""	"GO:0031904"	"IntermediateAnnotation"	"endosome lumen"	"GOAnnotation"	"1"	"1"	"20"	"5"
"1977"	"False"	""	"GO:0034359"	"LeafAnnotation"	"mature chylomicron"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1978"	"False"	""	"GO:0034360"	"LeafAnnotation"	"chylomicron remnant"	"GOAnnotation"	"2"	"2"	"2"	"100"
"1979"	"False"	""	"GO:0034374"	"LeafAnnotation"	"low-density lipoprotein particle remodeling"	"GOAnnotation"	"4"	"4"	"15"	"27"
"1980"	"False"	""	"GO:0034383"	"LeafAnnotation"	"low-density lipoprotein particle clearance"	"GOAnnotation"	"2"	"2"	"9"	"22"
"1981"	"False"	""	"GO:0035473"	"LeafAnnotation"	"lipase binding"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1982"	"False"	""	"GO:0042158"	"IntermediateAnnotation"	"lipoprotein biosynthetic process"	"GOAnnotation"	"4"	"4"	"24"	"17"
"1983"	"False"	""	"GO:0042159"	"IntermediateAnnotation"	"lipoprotein catabolic process"	"GOAnnotation"	"2"	"2"	"8"	"25"
"1984"	"False"	""	"GO:0042953"	"LeafAnnotation"	"lipoprotein transport"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1985"	"False"	""	"GO:0044872"	"IntermediateAnnotation"	"lipoprotein localization"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1986"	"False"	""	"GO:0043025"	"IntermediateAnnotation"	"neuronal cell body"	"GOAnnotation"	"5"	"5"	"323"	"2"
"1987"	"False"	""	"GO:0044297"	"IntermediateAnnotation"	"cell body"	"GOAnnotation"	"5"	"5"	"358"	"1"
"1988"	"False"	""	"GO:0036477"	"IntermediateAnnotation"	"somatodendritic compartment"	"GOAnnotation"	"6"	"7"	"550"	"1"
"1989"	"False"	""	"GO:0045540"	"IntermediateAnnotation"	"regulation of cholesterol biosynthetic process"	"GOAnnotation"	"2"	"2"	"8"	"25"
"1990"	"False"	""	"GO:0090181"	"IntermediateAnnotation"	"regulation of cholesterol metabolic process"	"GOAnnotation"	"3"	"3"	"17"	"18"
"1991"	"False"	""	"GO:0106118"	"IntermediateAnnotation"	"regulation of sterol biosynthetic process"	"GOAnnotation"	"2"	"2"	"8"	"25"
"1992"	"False"	""	"GO:1902930"	"IntermediateAnnotation"	"regulation of alcohol biosynthetic process"	"GOAnnotation"	"2"	"2"	"26"	"8"
"1993"	"False"	""	"GO:0050810"	"IntermediateAnnotation"	"regulation of steroid biosynthetic process"	"GOAnnotation"	"2"	"2"	"28"	"7"
